modality,model,seed,filename,epoch,sha256,parameter_count,state_dict_verified,forward_pass_verified,output_shape,verification_passed
mammography,unet,42,unet_seed42_best-Mammo.pt,55,c610c6747df32341d4f71260a9996e10e866407147aaf1b4aeb07c6b1b76ff60,7762465,True,True,"(1, 1, 256, 256)",True
mammography,unet,123,unet_seed123_best-Mammo.pt,31,cf3b514786e76058be1cc7fb6f2de54cac65775dadb5ca4c8265d443b9edcb52,7762465,True,True,"(1, 1, 256, 256)",True
mammography,unet,2025,unet_seed2025_best-Mammo.pt,29,318d5da4b3bd1a5f70476fd96fdb98272d68be1f844ec9c9f9d2e52ef9c8a2d8,7762465,True,True,"(1, 1, 256, 256)",True
mammography,attention_unet,42,attention_unet_seed42_best-Mammo.pt,55,1b85d4054ba1ba2a1ecb2161fa11827830f134ce25ceb0ab6c65b9ecea132bbf,7850229,True,True,"(1, 1, 256, 256)",True
mammography,attention_unet,123,attention_unet_seed123_best-Mammo.pt,30,9178ac06f9e155db02a44eaa91497b488b36592483bad51ea3d17f39d9a58661,7850229,True,True,"(1, 1, 256, 256)",True
mammography,attention_unet,2025,attention_unet_seed2025_best-Mammo.pt,35,a86140b8f9f311c6a774d283037e97caabc3bd0d8b9969be8c5dc36f2f30cad3,7850229,True,True,"(1, 1, 256, 256)",True
mammography,swin_tiny_unet,42,swin_tiny_unet_seed42_best-Mammo.pt,67,11a8ac07c9b779b2ca460ef3d89b88791a2b5ada6f6e88f916d2db0afa9be30a,37622054,True,True,"(1, 1, 256, 256)",True
mammography,swin_tiny_unet,123,swin_tiny_unet_seed123_best-Mammo.pt,31,a553b5ce2fabd6ff4fefd4437ccef6d9b3383f96d9bd3b073a640a46d52bb6e5,37622054,True,True,"(1, 1, 256, 256)",True
mammography,swin_tiny_unet,2025,swin_tiny_unet_seed2025_best-Mammo.pt,47,7a34a38e5bb1101efa37062d108f376f68cd3a2d4843177f9b5df431900b6181,37622054,True,True,"(1, 1, 256, 256)",True
dce_mri,unet,42,unet_seed42_best-MRI.pt,21,76c162f7498353d0e37f952a80e5f4c3442517449e081eb2c747bf3d3543cffd,7763041,True,True,"(1, 1, 256, 256)",True
dce_mri,unet,123,unet_seed123_best-MRI.pt,24,396caed15adbe8628a6193bd435127d499f18605e3b472581fe5de2a1f39e92d,7763041,True,True,"(1, 1, 256, 256)",True
dce_mri,unet,2025,unet_seed2025_best-MRI.pt,10,8cd60c690778568e09626de8b71bc1c2d6164e04e8e572b1cb8cfd95126d6ad7,7763041,True,True,"(1, 1, 256, 256)",True
dce_mri,attention_unet,42,attention_unet_seed42_best-MRI.pt,13,e2db06b2702f21b8316c442325b33df6f826af4f8708cd4774a27d19049cf845,7851773,True,True,"(1, 1, 256, 256)",True
dce_mri,attention_unet,123,attention_unet_seed123_best-MRI.pt,25,a864f5fbb78576b14f25ecc5d412d2ef87f6453f05640b52c9757cb54af19e8e,7851773,True,True,"(1, 1, 256, 256)",True
dce_mri,attention_unet,2025,attention_unet_seed2025_best-MRI.pt,20,cd26dccfc4c61111f8f5dded8328cd165168f4dbb6be935cb05148207c05458e,7851773,True,True,"(1, 1, 256, 256)",True
dce_mri,swin_tiny_unet,42,swin_tiny_unet_seed42_best-MRI.pt,13,1d52d30df6eae28b53c6557776840cf30856fd95515fe2bb565381a268bea841,38350819,True,True,"(1, 1, 256, 256)",True
dce_mri,swin_tiny_unet,123,swin_tiny_unet_seed123_best-MRI.pt,27,5b8b85fb96107c38b277ef8f9dad55283a6679eb1dc71c4b6c8b541df70b511e,38350819,True,True,"(1, 1, 256, 256)",True
dce_mri,swin_tiny_unet,2025,swin_tiny_unet_seed2025_best-MRI.pt,21,abe62a34f4bda1ea2d00b1087411ec860cd819d319bd1f6ee0514e17201b3f30,38350819,True,True,"(1, 1, 256, 256)",True
ultrasound,unet,42,unet_seed42_best-US.pt,72,c291e04930fa85f7d9d3f8166d792eef1656546e3a779e3f928638cf2f470b2a,7763041,True,True,"(1, 1, 256, 256)",True
ultrasound,unet,123,unet_seed123_best-US.pt,60,734a6e9f4ff38dd7558423b28e1142f3b7bb1bc1ab64e68d09053b6a67dcb526,7763041,True,True,"(1, 1, 256, 256)",True
ultrasound,unet,2025,unet_seed2025_best-US.pt,62,573afc7b77ab8fb140bcd5ad4c7569e6524f4bb47b473c38d78752c82a2d8c6f,7763041,True,True,"(1, 1, 256, 256)",True
ultrasound,attention_unet,42,attention_unet_seed42_best-US.pt,52,2138d89a823b7575c811e65da16fd8154a992b1b50bf5d37b9191568f21eba4b,7851773,True,True,"(1, 1, 256, 256)",True
ultrasound,attention_unet,123,attention_unet_seed123_best-US.pt,66,acdc24c98da03b2782cc05a074ccd060768aa5a23e3a0d5ec2996b3ee54bf1ef,7851773,True,True,"(1, 1, 256, 256)",True
ultrasound,attention_unet,2025,attention_unet_seed2025_best-US.pt,53,beb1595e7de1e600fdd100ee5291f3b1347ab777599095e9be08e7794b9ae0ad,7851773,True,True,"(1, 1, 256, 256)",True
ultrasound,swin_tiny_unet,42,swin_tiny_unet_seed42_best-US.pt,21,3f59c6ba4a84ad56ebc444a55b2956f9b6af6dc2dfc51731cd9f8cf7cfde84c2,38350819,True,True,"(1, 1, 256, 256)",True
ultrasound,swin_tiny_unet,123,swin_tiny_unet_seed123_best-US.pt,31,2e2e7091208c91858ad71295e821e267f2db817d21e753472e893bf5653efac0,38350819,True,True,"(1, 1, 256, 256)",True
ultrasound,swin_tiny_unet,2025,swin_tiny_unet_seed2025_best-US.pt,28,3ba61c607f8b28e8b66d3e075ec2580777658e142d8c4ca94bdc51db2947b0f3,38350819,True,True,"(1, 1, 256, 256)",True
